,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity,delay color,install color,y-labels,order
0,0,Project 19,131496,232702.18418783706,248937.54082664056,2044-05-01,2055-11-16 23:00:00,2057-09-23 10:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,1
1,1,Project 18,131496,226276.71646936878,242162.57310817228,2044-05-01,2055-02-22 05:00:00,2056-12-15 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,2
2,2,Project 17,122712,216017.57754903357,232702.18418783706,2043-05-01,2053-12-21 18:00:00,2055-11-16 23:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,3
4,4,Project 16,113952,200082.22091023007,216017.57754903357,2042-05-01,2052-02-26 19:00:00,2053-12-21 18:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,4
5,5,Project 15,105192,189737.65591428377,206422.26255308726,2041-05-01,2050-12-22 18:00:00,2052-11-16 23:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,5
7,7,Project 14,96432,173802.29927548027,189737.65591428377,2040-05-01,2049-02-26 19:00:00,2050-12-22 18:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,6
8,8,Project 13,87648,163651.16035514505,180303.01699394855,2039-05-01,2047-12-31 20:00:00,2049-11-24 16:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,7
10,10,Project 12,78888,147841.80371634156,163651.16035514505,2038-05-01,2046-03-13 02:00:00,2047-12-31 20:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,8
11,11,Project 11,70128,137537.23872039525,154023.09535919875,2037-05-01,2045-01-07 18:00:00,2046-11-25 16:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,9
13,13,Project 10,61368,122050.88208159176,137537.23872039525,2036-05-01,2043-04-03 11:00:00,2045-01-07 18:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,10
14,14,Project 9,52584,111359.74316125656,127781.34980006004,2035-05-01,2042-01-13 00:00:00,2043-11-28 06:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,11
16,16,Project 8,43824,96693.88652245307,111359.74316125656,2034-05-01,2040-05-11 22:00:00,2042-01-13 00:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,12
18,18,Project 7,35064,75870.81990182257,96693.88652245307,2033-05-01,2037-12-26 07:00:00,2040-05-11 22:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,13
20,20,Project 6,26304,55462.1619933694,75442.2286139999,2032-05-01,2035-08-28 23:00:00,2037-12-08 11:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,14
22,22,Project 5,8760,28914.095372738884,49019.911993369395,2030-05-01,2032-08-17 19:00:00,2034-12-03 12:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,15
24,24,Project 4,0,5880.0,26614.06662063051,2029-05-01,2030-01-01 00:00:00,2032-05-13 23:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,Northern CA,16
3,3,Project 25,113952,206422.26255308726,226276.71646936878,2042-05-01,2052-11-16 23:00:00,2055-02-22 05:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,17
6,6,Project 24,96432,180303.01699394855,200082.22091023007,2040-05-01,2049-11-24 16:00:00,2052-02-26 19:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,18
9,9,Project 23,78888,154023.09535919875,173802.29927548027,2038-05-01,2046-11-25 16:00:00,2049-02-26 19:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,19
12,12,Project 22,61368,127781.34980006004,147841.80371634156,2036-05-01,2043-11-28 06:00:00,2046-03-13 02:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,20
15,15,Project 21,43824,102150.63652245309,122050.88208159176,2034-05-01,2040-12-25 07:00:00,2043-04-03 11:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,21
17,17,Project 20,26304,75442.2286139999,102150.63652245309,2032-05-01,2037-12-08 11:00:00,2040-12-25 07:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,22
19,19,Project 3,17520,49019.911993369395,75870.81990182257,2031-05-01,2034-12-03 12:00:00,2037-12-26 07:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,23
21,21,Project 2,8760,26614.06662063051,55462.1619933694,2030-05-01,2032-05-13 23:00:00,2035-08-28 23:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,24
23,23,Project 1,0,0.0,28914.095372738884,2029-05-01,2029-05-01 00:00:00,2032-08-17 19:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,Central CA,25
