,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity,delay color,install color,finish-year
0,0,Project 19,131496,135987.47619047618,149537.45238095237,2044-05-01 00:00:00,2044-11-04 04:00:00,2046-05-22 18:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
1,1,Project 18,131496,131496.0,144747.47619047618,2044-05-01 00:00:00,2044-05-01 00:00:00,2045-11-04 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2045
2,2,Project 17,122712,122712.0,135987.47619047618,2043-05-01 00:00:00,2043-05-01 00:00:00,2044-11-04 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2044
3,3,Project 25,113952,113952.0,127377.72619047617,2042-05-01 00:00:00,2042-05-01 00:00:00,2043-11-11 10:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2043
4,4,Project 16,113952,113952.0,127227.47619047617,2042-05-01 00:00:00,2042-05-01 00:00:00,2043-11-05 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2043
5,5,Project 15,105192,105192.0,118467.47619047617,2041-05-01 00:00:00,2041-05-01 00:00:00,2042-11-05 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2042
6,6,Project 24,96432,96432.0,109857.72619047617,2040-05-01 00:00:00,2040-05-01 00:00:00,2041-11-11 10:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2041
7,7,Project 14,96432,96432.0,109707.47619047617,2040-05-01 00:00:00,2040-05-01 00:00:00,2041-11-05 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2041
8,8,Project 13,87648,87648.0,100947.97619047617,2039-05-01 00:00:00,2039-05-01 00:00:00,2040-11-05 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2040
9,9,Project 23,78888,78888.0,92337.72619047617,2038-05-01 00:00:00,2038-05-01 00:00:00,2039-11-12 10:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2039
10,10,Project 12,78888,78888.0,92187.97619047617,2038-05-01 00:00:00,2038-05-01 00:00:00,2039-11-06 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2039
11,11,Project 22,61368,73074.8085714285,86538.53476190468,2036-05-01 00:00:00,2037-08-31 19:00:00,2039-03-15 19:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2039
12,12,Project 11,70128,70128.0,83427.97619047617,2037-05-01 00:00:00,2037-05-01 00:00:00,2038-11-06 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2038
13,13,Project 20,26304,58970.04119047617,76974.58238095234,2032-05-01 00:00:00,2036-01-22 03:00:00,2038-02-10 07:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2038
14,14,Project 10,61368,61368.0,74667.97619047617,2036-05-01 00:00:00,2036-05-01 00:00:00,2037-11-06 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2037
15,15,Project 21,43824,59454.58238095234,73074.8085714285,2034-05-01 00:00:00,2036-02-11 07:00:00,2037-08-31 19:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2037
16,16,Project 9,52584,52818.63619047617,66058.11238095234,2035-05-01 00:00:00,2035-05-10 19:00:00,2036-11-12 11:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2036
17,17,Project 3,17520,41450.04119047617,59454.58238095234,2031-05-01 00:00:00,2034-01-22 03:00:00,2036-02-11 07:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2036
18,18,Project 2,8760,40944.0,58970.04119047617,2030-05-01 00:00:00,2034-01-01 00:00:00,2036-01-22 03:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2036
19,19,Project 8,43824,44058.63619047617,57298.11238095235,2034-05-01 00:00:00,2034-05-10 19:00:00,2035-11-13 11:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2035
20,20,Project 7,35064,35064.0,52818.63619047617,2033-05-01 00:00:00,2033-05-01 00:00:00,2035-05-10 19:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2035
21,21,Project 6,26304,26304.0,44058.63619047617,2032-05-01 00:00:00,2032-05-01 00:00:00,2034-05-10 19:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2034
22,22,Project 1,0,23400.0,41450.04119047617,2029-05-01 00:00:00,2032-01-01 00:00:00,2034-01-22 03:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2034
23,23,Project 5,8760,8760.0,26538.63619047617,2030-05-01 00:00:00,2030-05-01 00:00:00,2032-05-10 19:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2032
24,24,Project 4,0,0.0,17778.63619047617,2029-05-01 00:00:00,2029-05-01 00:00:00,2031-05-11 19:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2031
