,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity,delay color,install color,finish-year
0,0,Project 19,131496,145339.47428571412,156162.9504761903,2044-05-01 00:00:00,2045-11-28 20:00:00,2047-02-22 19:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2047
1,1,Project 18,131496,139804.12809523797,150627.60428571416,2044-05-01 00:00:00,2045-04-12 05:00:00,2046-07-07 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
2,2,Project 17,122712,134515.99809523794,145339.47428571412,2043-05-01 00:00:00,2044-09-03 20:00:00,2045-11-28 20:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2045
3,3,Project 25,113952,128844.90190476179,139804.12809523797,2042-05-01 00:00:00,2044-01-11 13:00:00,2045-04-12 05:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2045
4,4,Project 16,113952,123692.52190476177,134515.99809523794,2042-05-01 00:00:00,2043-06-10 21:00:00,2044-09-03 20:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2044
5,5,Project 15,105192,118021.42571428561,128844.90190476179,2041-05-01 00:00:00,2042-10-17 14:00:00,2044-01-11 13:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2044
6,6,Project 24,96432,112733.29571428559,123692.52190476177,2040-05-01 00:00:00,2042-03-11 06:00:00,2043-06-10 21:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2043
7,7,Project 14,96432,107197.94952380942,118021.42571428561,2040-05-01 00:00:00,2041-07-23 14:00:00,2042-10-17 14:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2042
8,8,Project 13,87648,101909.8195238094,112733.29571428559,2039-05-01 00:00:00,2040-12-15 06:00:00,2042-03-11 06:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2042
9,9,Project 23,78888,96238.72333333324,107197.94952380942,2038-05-01 00:00:00,2040-04-22 23:00:00,2041-07-23 14:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2041
10,10,Project 12,78888,91086.34333333322,101909.8195238094,2038-05-01 00:00:00,2039-09-21 07:00:00,2040-12-15 06:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2040
11,11,Project 11,70128,85415.24714285706,96238.72333333324,2037-05-01 00:00:00,2039-01-28 00:00:00,2040-04-22 23:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2040
12,12,Project 22,61368,80127.11714285704,91086.34333333322,2036-05-01 00:00:00,2038-06-21 16:00:00,2039-09-21 07:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2039
13,13,Project 10,61368,74591.77095238087,85415.24714285706,2036-05-01 00:00:00,2037-11-03 00:00:00,2039-01-28 00:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2039
14,14,Project 9,52584,69303.64095238085,80127.11714285704,2035-05-01 00:00:00,2037-03-27 16:00:00,2038-06-21 16:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2038
15,15,Project 21,43824,63632.54476190469,74591.77095238087,2034-05-01 00:00:00,2036-08-03 09:00:00,2037-11-03 00:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2037
16,16,Project 8,43824,58480.16476190467,69303.64095238085,2034-05-01 00:00:00,2036-01-01 17:00:00,2037-03-27 16:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2037
17,17,Project 7,35064,49194.40857142852,63632.54476190469,2033-05-01 00:00:00,2034-12-10 19:00:00,2036-08-03 09:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2036
18,18,Project 20,26304,43860.1235714285,58480.16476190467,2032-05-01 00:00:00,2034-05-02 13:00:00,2036-01-01 17:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2036
19,19,Project 6,26304,34756.272380952345,49194.40857142852,2032-05-01 00:00:00,2033-04-18 05:00:00,2034-12-10 19:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2034
20,20,Project 3,17520,29240.082380952335,43860.1235714285,2031-05-01 00:00:00,2032-08-31 09:00:00,2034-05-02 13:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2034
21,21,Project 5,8760,20318.136190476172,34756.272380952345,2030-05-01 00:00:00,2031-08-25 15:00:00,2033-04-18 05:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2033
22,22,Project 2,8760,14620.041190476168,29240.082380952335,2030-05-01 00:00:00,2030-12-31 05:00:00,2032-08-31 09:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2032
23,23,Project 4,0,5880.0,20318.136190476172,2029-05-01 00:00:00,2030-01-01 00:00:00,2031-08-25 15:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2031
24,24,Project 1,0,0.0,14620.041190476168,2029-05-01 00:00:00,2029-05-01 00:00:00,2030-12-31 05:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2030
