,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity,delay color,install color,finish-year
0,0,Project 21,131496,232702.18418783706,248937.54082664056,2044-05-01,2055-11-16 23:00:00,2057-09-23 10:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2057
1,1,Project 20,131496,226276.71646936878,242162.57310817228,2044-05-01,2055-02-22 05:00:00,2056-12-15 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2056
2,2,Project 19,122712,216017.57754903357,232702.18418783706,2043-05-01,2053-12-21 18:00:00,2055-11-16 23:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2055
3,3,Project 35,113952,206422.26255308726,226276.71646936878,2042-05-01,2052-11-16 23:00:00,2055-02-22 05:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2055
4,4,Project 18,113952,200082.22091023007,216017.57754903357,2042-05-01,2052-02-26 19:00:00,2053-12-21 18:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2053
5,5,Project 17,105192,189737.65591428377,206422.26255308726,2041-05-01,2050-12-22 18:00:00,2052-11-16 23:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2052
6,6,Project 34,96432,180303.01699394855,200082.22091023007,2040-05-01,2049-11-24 16:00:00,2052-02-26 19:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2052
7,7,Project 16,96432,173802.29927548027,189737.65591428377,2040-05-01,2049-02-26 19:00:00,2050-12-22 18:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2050
8,8,Project 15,87648,163651.16035514505,180303.01699394855,2039-05-01,2047-12-31 20:00:00,2049-11-24 16:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2049
9,9,Project 33,78888,154023.09535919875,173802.29927548027,2038-05-01,2046-11-25 16:00:00,2049-02-26 19:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2049
10,10,Project 14,78888,147841.80371634156,163651.16035514505,2038-05-01,2046-03-13 02:00:00,2047-12-31 20:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2047
11,11,Project 13,70128,137537.23872039525,154023.09535919875,2037-05-01,2045-01-07 18:00:00,2046-11-25 16:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
12,12,Project 32,61368,127781.34980006004,147841.80371634156,2036-05-01,2043-11-28 06:00:00,2046-03-13 02:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2046
13,13,Project 12,61368,122050.88208159176,137537.23872039525,2036-05-01,2043-04-03 11:00:00,2045-01-07 18:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2045
14,14,Project 29,96432,120103.46302857903,136522.95902552977,2040-05-01,2043-01-12 08:00:00,2044-11-26 11:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2044
15,15,Project 11,52584,111359.74316125656,127781.34980006004,2035-05-01,2042-01-13 00:00:00,2043-11-28 06:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2043
16,16,Project 28,87648,109223.05503270263,125290.80102965335,2039-05-01,2041-10-16 00:00:00,2043-08-16 11:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2043
17,17,Project 31,43824,102150.63652245309,122050.88208159176,2034-05-01,2040-12-25 07:00:00,2043-04-03 11:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2043
18,18,Project 27,78888,106505.14201905268,120103.46302857903,2038-05-01,2041-06-24 18:00:00,2043-01-12 08:00:00,Coos Bay,Central OR,1000,#A2D9CE,#16A085,2043
19,19,Project 10,43824,96693.88652245307,111359.74316125656,2034-05-01,2040-05-11 22:00:00,2042-01-13 00:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2042
20,20,Project 26,70128,93061.05903575191,109223.05503270263,2037-05-01,2039-12-12 14:00:00,2041-10-16 00:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2041
21,21,Project 25,61368,91871.82100952635,106505.14201905268,2036-05-01,2039-10-24 00:00:00,2041-06-24 18:00:00,Coos Bay,Central OR,1000,#A2D9CE,#16A085,2041
22,22,Project 30,26304,75442.2286139999,102150.63652245309,2032-05-01,2037-12-08 11:00:00,2040-12-25 07:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2040
23,23,Project 9,35064,75870.81990182257,96693.88652245307,2033-05-01,2037-12-26 07:00:00,2040-05-11 22:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2040
24,24,Project 24,52584,76991.56303880119,93061.05903575191,2035-05-01,2038-02-11 00:00:00,2039-12-12 14:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2039
25,25,Project 23,43824,76008.0,91871.82100952635,2034-05-01,2038-01-01 00:00:00,2039-10-24 00:00:00,Coos Bay,Central OR,1000,#A2D9CE,#16A085,2039
26,26,Project 22,35064,57144.39921832377,76991.56303880119,2033-05-01,2035-11-07 01:00:00,2038-02-11 00:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2038
27,27,Project 3,17520,49019.911993369395,75870.81990182257,2031-05-01,2034-12-03 12:00:00,2037-12-26 07:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2037
28,28,Project 8,26304,55462.1619933694,75442.2286139999,2032-05-01,2035-08-28 23:00:00,2037-12-08 11:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2037
29,29,Project 7,26304,37662.41382047742,57144.39921832377,2032-05-01,2033-08-17 07:00:00,2035-11-07 01:00:00,Coos Bay,Central OR,1000,#A2D9CE,#16A085,2035
30,30,Project 2,8760,26614.06662063051,55462.1619933694,2030-05-01,2032-05-13 23:00:00,2035-08-28 23:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2035
31,31,Project 5,8760,28914.095372738884,49019.911993369395,2030-05-01,2032-08-17 19:00:00,2034-12-03 12:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2034
32,32,Project 6,17520,17520.0,37662.41382047742,2031-05-01,2031-05-01 00:00:00,2033-08-17 07:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2033
33,33,Project 1,0,0.0,28914.095372738884,2029-05-01,2029-05-01 00:00:00,2032-08-17 19:00:00,Humboldt,Central CA,1000,#FAD7A0,#F39C12,2032
34,34,Project 4,0,5880.0,26614.06662063051,2029-05-01,2030-01-01 00:00:00,2032-05-13 23:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2032
