,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity
0,0,Project 21,131496,225723.30723809506,237847.78342857125,2044-05-01,2055-01-30 04:00:00,2056-06-18 08:00:00,Humboldt,Northern CA (Humboldt),1000
1,1,Project 20,131496,214127.3225476188,226354.79873809498,2044-05-01,2053-10-04 00:00:00,2055-02-25 11:00:00,Humboldt,Northern CA (Humboldt),1000
2,2,Project 19,122712,213583.83104761888,225723.30723809506,2043-05-01,2053-09-11 08:00:00,2055-01-30 04:00:00,Humboldt,Northern CA (Humboldt),1000
3,3,Project 35,113952,202606.5963571426,214127.3225476188,2042-05-01,2052-06-10 23:00:00,2053-10-04 00:00:00,Humboldt,Central CA (Morro Bay),1000
4,4,Project 18,113952,202145.3548571427,213583.83104761888,2042-05-01,2052-05-22 18:00:00,2053-09-11 08:00:00,Humboldt,Northern CA (Humboldt),1000
5,5,Project 17,105192,190770.62016666643,202606.5963571426,2041-05-01,2051-02-03 19:00:00,2052-06-10 23:00:00,Humboldt,Northern CA (Humboldt),1000
6,6,Project 34,96432,190160.6286666665,202145.3548571427,2040-05-01,2051-01-09 09:00:00,2052-05-22 18:00:00,Humboldt,Central CA (Morro Bay),1000
7,7,Project 29,96432,179439.36897619025,190770.62016666643,2040-05-01,2049-10-19 16:00:00,2051-02-03 19:00:00,Coos Bay,Southern OR (Brookings),1000
8,8,Project 16,96432,178581.65247619033,190160.6286666665,2040-05-01,2049-09-13 22:00:00,2051-01-09 09:00:00,Humboldt,Northern CA (Humboldt),1000
9,9,Project 28,87648,168077.11778571407,179439.36897619025,2039-05-01,2048-07-03 06:00:00,2049-10-19 16:00:00,Coos Bay,Southern OR (Brookings),1000
10,10,Project 15,87648,166884.67628571414,178581.65247619033,2039-05-01,2048-05-14 13:00:00,2049-09-13 22:00:00,Humboldt,Northern CA (Humboldt),1000
11,11,Project 33,78888,155501.89159523792,168077.11778571407,2038-05-01,2047-01-26 06:00:00,2048-07-03 06:00:00,Humboldt,Central CA (Morro Bay),1000
12,12,Project 27,78888,154969.17509523794,166884.67628571414,2038-05-01,2047-01-04 02:00:00,2048-05-14 13:00:00,Coos Bay,Central OR (Coos Bay),1000
13,13,Project 14,78888,143945.91540476173,155501.89159523792,2038-05-01,2045-10-01 18:00:00,2047-01-26 06:00:00,Humboldt,Northern CA (Humboldt),1000
14,14,Project 26,70128,143853.92390476176,154969.17509523794,2037-05-01,2045-09-27 22:00:00,2047-01-04 02:00:00,Coos Bay,Southern OR (Brookings),1000
15,15,Project 13,70128,132086.93921428555,143945.91540476173,2037-05-01,2044-05-25 15:00:00,2045-10-01 18:00:00,Humboldt,Northern CA (Humboldt),1000
16,16,Project 32,61368,131477.6977142856,143853.92390476176,2036-05-01,2044-04-30 06:00:00,2045-09-27 22:00:00,Humboldt,Central CA (Morro Bay),1000
17,17,Project 12,61368,119673.96302380938,132086.93921428555,2036-05-01,2042-12-25 10:00:00,2044-05-25 15:00:00,Humboldt,Northern CA (Humboldt),1000
18,18,Project 25,61368,119732.69652380941,131477.6977142856,2036-05-01,2042-12-27 21:00:00,2044-04-30 06:00:00,Coos Bay,Central OR (Coos Bay),1000
19,19,Project 24,52584,108700.94533333323,119732.69652380941,2035-05-01,2041-09-24 05:00:00,2042-12-27 21:00:00,Coos Bay,Southern OR (Brookings),1000
20,20,Project 11,52584,108259.4868333332,119673.96302380938,2035-05-01,2041-09-05 20:00:00,2042-12-25 10:00:00,Humboldt,Northern CA (Humboldt),1000
21,21,Project 31,43824,96718.21914285707,108700.94533333323,2034-05-01,2040-05-12 23:00:00,2041-09-24 05:00:00,Humboldt,Central CA (Morro Bay),1000
22,22,Project 23,43824,96601.985642857,108259.4868333332,2034-05-01,2040-05-08 02:00:00,2041-09-05 20:00:00,Coos Bay,Central OR (Coos Bay),1000
23,23,Project 10,43824,84585.7429523809,96718.21914285707,2034-05-01,2038-12-24 10:00:00,2040-05-12 23:00:00,Humboldt,Northern CA (Humboldt),1000
24,24,Project 22,35064,80947.30095238083,96601.985642857,2033-05-01,2038-07-25 20:00:00,2040-05-08 02:00:00,Coos Bay,Southern OR (Brookings),1000
25,25,Project 9,35064,69118.60676190472,84585.7429523809,2033-05-01,2037-03-19 23:00:00,2038-12-24 10:00:00,Humboldt,Northern CA (Humboldt),1000
26,26,Project 30,26304,65027.759761904665,80947.30095238083,2032-05-01,2036-09-30 12:00:00,2038-07-25 20:00:00,Humboldt,Central CA (Morro Bay),1000
27,27,Project 7,26304,53363.95707142852,69118.60676190472,2032-05-01,2035-06-02 12:00:00,2037-03-19 23:00:00,Coos Bay,Central OR (Coos Bay),1000
28,28,Project 8,26304,48797.62357142849,65027.759761904665,2032-05-01,2034-11-24 06:00:00,2036-09-30 12:00:00,Humboldt,Northern CA (Humboldt),1000
29,29,Project 6,17520,37620.772380952345,53363.95707142852,2031-05-01,2033-08-15 13:00:00,2035-06-02 12:00:00,Coos Bay,Southern OR (Brookings),1000
30,30,Project 3,17520,33266.08238095234,48797.62357142849,2031-05-01,2033-02-15 03:00:00,2034-11-24 06:00:00,Humboldt,Central CA (Morro Bay),1000
31,31,Project 5,8760,21841.13619047617,37620.772380952345,2030-05-01,2031-10-28 02:00:00,2033-08-15 13:00:00,Humboldt,Northern CA (Humboldt),1000
32,32,Project 2,8760,16952.04119047618,33266.08238095234,2030-05-01,2031-04-07 09:00:00,2033-02-15 03:00:00,Humboldt,Central CA (Morro Bay),1000
33,33,Project 4,0,5880.0,21841.13619047617,2029-05-01,2030-01-01 00:00:00,2031-10-28 02:00:00,Humboldt,Northern CA (Humboldt),1000
34,34,Project 1,0,0.0,16952.04119047618,2029-05-01,2029-05-01 00:00:00,2031-04-07 09:00:00,Humboldt,Central CA (Morro Bay),1000
