,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity
0,0,Project 21,131496,134090.47619047618,146228.95238095237,2044-05-01,2044-08-17 03:00:00,2046-01-04 21:00:00,Humboldt,Northern CA (Humboldt),1000
1,1,Project 20,131496,131496.0,143593.97619047618,2044-05-01,2044-05-01 00:00:00,2045-09-17 02:00:00,Humboldt,Northern CA (Humboldt),1000
2,2,Project 19,122712,122712.0,134090.47619047618,2043-05-01,2043-05-01 00:00:00,2044-08-17 03:00:00,Humboldt,Northern CA (Humboldt),1000
3,3,Project 35,113952,113952.0,125835.72619047617,2042-05-01,2042-05-01 00:00:00,2043-09-08 04:00:00,Long Beach,Central CA (Morro Bay),1000
4,4,Project 18,113952,113952.0,125537.47619047618,2042-05-01,2042-05-01 00:00:00,2043-08-26 18:00:00,Humboldt,Northern CA (Humboldt),1000
5,5,Project 17,105192,105192.0,116843.47619047618,2041-05-01,2041-05-01 00:00:00,2042-08-29 12:00:00,Humboldt,Northern CA (Humboldt),1000
6,6,Project 29,96432,99222.50238095238,110332.25357142856,2040-05-01,2040-08-25 07:00:00,2041-12-01 05:00:00,Coos Bay,Southern OR (Brookings),1000
7,7,Project 28,87648,98759.5226428571,109872.27383333328,2039-05-01,2040-08-06 00:00:00,2041-11-12 01:00:00,Coos Bay,Southern OR (Brookings),1000
8,8,Project 34,96432,96432.0,108430.72619047617,2040-05-01,2040-05-01 00:00:00,2041-09-12 23:00:00,Long Beach,Central CA (Morro Bay),1000
9,9,Project 16,96432,96432.0,108368.47619047617,2040-05-01,2040-05-01 00:00:00,2041-09-10 09:00:00,Humboldt,Northern CA (Humboldt),1000
10,10,Project 15,87648,87648.0,99320.97619047617,2039-05-01,2039-05-01 00:00:00,2040-08-29 09:00:00,Humboldt,Northern CA (Humboldt),1000
11,11,Project 27,78888,87961.50119047619,99222.50238095238,2038-05-01,2039-05-14 02:00:00,2040-08-25 07:00:00,Coos Bay,Central OR (Coos Bay),1000
12,12,Project 26,70128,86883.77145238093,98759.5226428571,2037-05-01,2039-03-30 04:00:00,2040-08-06 00:00:00,Coos Bay,Southern OR (Brookings),1000
13,13,Project 33,78888,78888.0,91252.22619047615,2038-05-01,2038-05-01 00:00:00,2039-09-28 05:00:00,Long Beach,Central CA (Morro Bay),1000
14,14,Project 14,78888,78888.0,90913.47619047617,2038-05-01,2038-05-01 00:00:00,2039-09-14 02:00:00,Humboldt,Northern CA (Humboldt),1000
15,15,Project 25,61368,76008.0,87961.50119047619,2036-05-01,2038-01-01 00:00:00,2039-05-14 02:00:00,Coos Bay,Central OR (Coos Bay),1000
