,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity,delay color,install color,finish-year
0,0,Project 35,113952,190889.3039311334,208409.13862971307,2042-05-01,2051-02-08 18:00:00,2053-02-07 18:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2053
1,1,Project 34,96432,173368.96923255376,190889.3039311334,2040-05-01,2049-02-08 17:00:00,2051-02-08 18:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2051
2,2,Project 33,78888,155849.1345339741,173368.96923255376,2038-05-01,2047-02-09 18:00:00,2049-02-08 17:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2049
3,3,Project 32,61368,138329.29983539446,155849.1345339741,2036-05-01,2045-02-09 18:00:00,2047-02-09 18:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2047
4,4,Project 21,131496,137618.6066388035,154061.713277607,2044-05-01,2045-01-11 03:00:00,2046-11-27 06:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
5,5,Project 20,131496,131496.0,146378.6066388035,2044-05-01,2044-05-01 00:00:00,2046-01-11 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
6,6,Project 31,43824,120768.9651368148,138329.29983539446,2034-05-01,2043-02-09 01:00:00,2045-02-09 18:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2045
7,7,Project 19,122712,122712.0,137618.6066388035,2043-05-01,2043-05-01 00:00:00,2045-01-11 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2045
8,8,Project 29,96432,120103.46302857903,136522.95902552977,2040-05-01,2043-01-12 08:00:00,2044-11-26 11:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2044
9,9,Project 18,113952,113952.0,128858.60663880348,2042-05-01,2042-05-01 00:00:00,2044-01-12 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2044
10,10,Project 28,87648,109223.05503270263,125290.80102965335,2039-05-01,2041-10-16 00:00:00,2043-08-16 11:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2043
11,11,Project 30,26304,97353.5662603492,120768.9651368148,2032-05-01,2040-06-08 10:00:00,2043-02-09 01:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2043
12,12,Project 27,78888,106505.14201905268,120103.46302857903,2038-05-01,2041-06-24 18:00:00,2043-01-12 08:00:00,Coos Bay,Central OR,1000,#A2D9CE,#16A085,2043
13,13,Project 17,105192,105192.0,120098.60663880348,2041-05-01,2041-05-01 00:00:00,2043-01-12 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2043
14,14,Project 16,96432,96432.0,111338.60663880348,2040-05-01,2040-05-01 00:00:00,2042-01-12 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2042
15,15,Project 26,70128,93061.05903575191,109223.05503270263,2037-05-01,2039-12-12 14:00:00,2041-10-16 00:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2041
