,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity
0,0,Project 53,131496,171123.33333333323,183579.3095238094,2044-05-01,2048-11-07 04:00:00,2050-04-10 04:00:00,Port of San Luis,Northern CA (Humboldt),1000
1,1,Project 55,122712,158734.60714285707,171123.33333333323,2043-05-01,2047-06-09 23:00:00,2048-11-07 04:00:00,Port of San Luis,Central CA (Morro Bay),1000
2,2,Project 52,122712,146644.6309523809,158734.60714285707,2043-05-01,2046-01-22 05:00:00,2047-06-09 23:00:00,Port of San Luis,Northern CA (Humboldt),1000
3,3,Project 41,131496,146611.1309523809,158733.85714285704,2044-05-01,2046-01-20 20:00:00,2047-06-09 22:00:00,Grays Harbor,Southern WA,1000
4,4,Project 35,113952,135349.0695238094,147771.46238095223,2042-05-01,2044-10-08 14:00:00,2046-03-10 04:00:00,Long Beach,Central CA (Morro Bay),1000
5,5,Project 51,113952,134413.1547619047,146644.6309523809,2042-05-01,2044-08-30 14:00:00,2046-01-22 05:00:00,Port of San Luis,Northern CA (Humboldt),1000
6,6,Project 40,122712,134356.9047619047,146611.1309523809,2043-05-01,2044-08-28 05:00:00,2046-01-20 20:00:00,Grays Harbor,Southern WA,1000
7,7,Project 21,131496,134090.47619047618,146228.95238095237,2044-05-01,2044-08-17 03:00:00,2046-01-04 21:00:00,Humboldt,Northern CA (Humboldt),1000
8,8,Project 47,131496,133338.75595238095,144768.75714285715,2044-05-01,2044-07-16 19:00:00,2045-11-05 01:00:00,Coos Bay,Central OR (Coos Bay),1000
9,9,Project 46,122712,132779.77621428564,144192.02740476181,2043-05-01,2044-06-23 12:00:00,2045-10-12 01:00:00,Coos Bay,Southern OR (Brookings),1000
10,10,Project 20,131496,131496.0,143593.97619047618,2044-05-01,2044-05-01 00:00:00,2045-09-17 02:00:00,Humboldt,Northern CA (Humboldt),1000
11,11,Project 34,96432,123858.84333333322,135349.0695238094,2040-05-01,2043-06-17 19:00:00,2044-10-08 14:00:00,Long Beach,Central CA (Morro Bay),1000
12,12,Project 54,105192,122709.42857142854,134413.1547619047,2041-05-01,2043-04-30 22:00:00,2044-08-30 14:00:00,Port of San Luis,Central CA (Morro Bay),1000
13,13,Project 39,113952,122789.17857142852,134356.9047619047,2042-05-01,2043-05-04 06:00:00,2044-08-28 05:00:00,Grays Harbor,Southern WA,1000
14,14,Project 19,122712,122712.0,134090.47619047618,2043-05-01,2043-05-01 00:00:00,2044-08-17 03:00:00,Humboldt,Northern CA (Humboldt),1000
15,15,Project 45,113952,121368.25476190475,133338.75595238095,2042-05-01,2043-03-06 01:00:00,2044-07-16 19:00:00,Coos Bay,Central OR (Coos Bay),1000
16,16,Project 44,105192,121158.52502380946,132779.77621428564,2041-05-01,2043-02-25 07:00:00,2044-06-23 12:00:00,Coos Bay,Southern OR (Brookings),1000
17,17,Project 18,113952,113952.0,125537.47619047618,2042-05-01,2042-05-01 00:00:00,2043-08-26 18:00:00,Humboldt,Northern CA (Humboldt),1000
18,18,Project 33,78888,111882.61714285705,123858.84333333322,2038-05-01,2042-02-03 19:00:00,2043-06-17 19:00:00,Long Beach,Central CA (Morro Bay),1000
19,19,Project 38,105192,111033.95238095235,122789.17857142852,2041-05-01,2041-12-30 10:00:00,2043-05-04 06:00:00,Grays Harbor,Southern WA,1000
20,20,Project 50,105192,110877.95238095235,122709.42857142854,2041-05-01,2041-12-23 22:00:00,2043-04-30 22:00:00,Port of San Luis,Northern CA (Humboldt),1000
21,21,Project 43,96432,110332.25357142856,121368.25476190475,2040-05-01,2041-12-01 05:00:00,2043-03-06 01:00:00,Coos Bay,Central OR (Coos Bay),1000
22,22,Project 29,96432,109872.27383333328,121158.52502380946,2040-05-01,2041-11-12 01:00:00,2043-02-25 07:00:00,Coos Bay,Southern OR (Brookings),1000
23,23,Project 17,105192,105192.0,116843.47619047618,2041-05-01,2041-05-01 00:00:00,2042-08-29 12:00:00,Humboldt,Northern CA (Humboldt),1000
24,24,Project 32,61368,99845.39095238087,111882.61714285705,2036-05-01,2040-09-20 06:00:00,2042-02-03 19:00:00,Long Beach,Central CA (Morro Bay),1000
25,25,Project 37,96432,99421.22619047617,111033.95238095235,2040-05-01,2040-09-02 14:00:00,2041-12-30 10:00:00,Grays Harbor,Southern WA,1000
26,26,Project 49,96432,99320.97619047617,110877.95238095235,2040-05-01,2040-08-29 09:00:00,2041-12-23 22:00:00,Port of San Luis,Northern CA (Humboldt),1000
27,27,Project 28,87648,99222.50238095238,110332.25357142856,2039-05-01,2040-08-25 07:00:00,2041-12-01 05:00:00,Coos Bay,Southern OR (Brookings),1000
28,28,Project 42,78888,98759.5226428571,109872.27383333328,2038-05-01,2040-08-06 00:00:00,2041-11-12 01:00:00,Coos Bay,Southern OR,1000
29,29,Project 16,96432,96432.0,108368.47619047617,2040-05-01,2040-05-01 00:00:00,2041-09-10 09:00:00,Humboldt,Northern CA (Humboldt),1000
30,30,Project 31,43824,87996.6647619047,99845.39095238087,2034-05-01,2039-05-15 13:00:00,2040-09-20 06:00:00,Long Beach,Central CA (Morro Bay),1000
31,31,Project 36,87648,87648.0,99421.22619047617,2039-05-01,2039-05-01 00:00:00,2040-09-02 14:00:00,Grays Harbor,Southern WA,1000
32,32,Project 48,87648,87648.0,99320.97619047617,2039-05-01,2039-05-01 00:00:00,2040-08-29 09:00:00,Port of San Luis,Northern CA (Humboldt),1000
33,33,Project 15,87648,87648.0,99320.97619047617,2039-05-01,2039-05-01 00:00:00,2040-08-29 09:00:00,Humboldt,Northern CA (Humboldt),1000
34,34,Project 27,78888,87961.50119047619,99222.50238095238,2038-05-01,2039-05-14 02:00:00,2040-08-25 07:00:00,Coos Bay,Central OR (Coos Bay),1000
35,35,Project 26,70128,86883.77145238093,98759.5226428571,2037-05-01,2039-03-30 04:00:00,2040-08-06 00:00:00,Coos Bay,Southern OR (Brookings),1000
36,36,Project 14,78888,78888.0,90913.47619047617,2038-05-01,2038-05-01 00:00:00,2039-09-14 02:00:00,Humboldt,Northern CA (Humboldt),1000
37,37,Project 30,26304,71668.62357142853,87996.6647619047,2032-05-01,2037-07-04 05:00:00,2039-05-15 13:00:00,Long Beach,Central CA (Morro Bay),1000
38,38,Project 25,61368,76008.0,87961.50119047619,2036-05-01,2038-01-01 00:00:00,2039-05-14 02:00:00,Coos Bay,Central OR (Coos Bay),1000
39,39,Project 24,52584,74865.02026190475,86883.77145238093,2035-05-01,2037-11-14 10:00:00,2039-03-30 04:00:00,Coos Bay,Southern OR (Brookings),1000
40,40,Project 13,70128,70128.0,81840.47619047618,2037-05-01,2037-05-01 00:00:00,2038-09-01 01:00:00,Humboldt,Northern CA (Humboldt),1000
41,41,Project 23,43824,63951.019071428556,74865.02026190475,2034-05-01,2036-08-16 16:00:00,2037-11-14 10:00:00,Coos Bay,Central OR (Coos Bay),1000
42,42,Project 12,61368,61368.0,72945.97619047618,2036-05-01,2036-05-01 00:00:00,2037-08-26 10:00:00,Humboldt,Northern CA (Humboldt),1000
43,43,Project 3,17520,55192.582380952335,71668.62357142853,2031-05-01,2035-08-17 17:00:00,2037-07-04 05:00:00,Long Beach,Central CA (Morro Bay),1000
44,44,Project 11,52584,52584.0,64692.47619047617,2035-05-01,2035-05-01 00:00:00,2036-09-16 13:00:00,Humboldt,Northern CA (Humboldt),1000
45,45,Project 22,35064,48034.33438095238,63951.019071428556,2033-05-01,2034-10-23 11:00:00,2036-08-16 16:00:00,Coos Bay,Southern OR (Brookings),1000
46,46,Project 10,43824,43824.0,55202.47619047618,2034-05-01,2034-05-01 00:00:00,2035-08-18 03:00:00,Humboldt,Northern CA (Humboldt),1000
47,47,Project 2,8760,39465.54119047617,55192.582380952335,2030-05-01,2033-10-31 10:00:00,2035-08-17 17:00:00,Long Beach,Central CA (Morro Bay),1000
48,48,Project 9,35064,35064.0,50519.63619047617,2033-05-01,2033-05-01 00:00:00,2035-02-04 00:00:00,Humboldt,Northern CA (Humboldt),1000
49,49,Project 7,26304,32956.68469047618,48034.33438095238,2032-05-01,2033-02-02 05:00:00,2034-10-23 11:00:00,Coos Bay,Central OR (Coos Bay),1000
