,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,capacity,finish-year
0,0,Project 21,131496,229114.28630358053,237656.4529702472,2044-05-01,2055-06-20 11:00:00,2056-06-10 09:00:00,Humboldt,1000,2056
1,1,Project 20,131496,220572.11963691388,229114.28630358053,2044-05-01,2054-06-29 13:00:00,2055-06-20 11:00:00,Humboldt,1000,2055
2,2,Project 19,122712,212029.95297024722,220572.11963691388,2043-05-01,2053-07-08 14:00:00,2054-06-29 13:00:00,Humboldt,1000,2054
3,3,Project 35,113952,203236.92904286445,212029.95297024722,2042-05-01,2052-07-07 05:00:00,2053-07-08 14:00:00,Humboldt,1000,2053
4,4,Project 18,113952,194694.7623761978,203236.92904286445,2042-05-01,2051-07-17 07:00:00,2052-07-07 05:00:00,Humboldt,1000,2052
5,5,Project 17,105192,186152.59570953113,194694.7623761978,2041-05-01,2050-07-26 09:00:00,2051-07-17 07:00:00,Humboldt,1000,2051
6,6,Project 34,96432,177359.57178214836,186152.59570953113,2040-05-01,2049-07-25 00:00:00,2050-07-26 09:00:00,Humboldt,1000,2050
7,7,Project 16,96432,168817.4051154817,177359.57178214836,2040-05-01,2048-08-03 02:00:00,2049-07-25 00:00:00,Humboldt,1000,2049
8,8,Project 15,87648,160275.23844881504,168817.4051154817,2039-05-01,2047-08-13 04:00:00,2048-08-03 02:00:00,Humboldt,1000,2048
9,9,Project 33,78888,151482.21452143227,160275.23844881504,2038-05-01,2046-08-11 19:00:00,2047-08-13 04:00:00,Humboldt,1000,2047
10,10,Project 14,78888,142940.0478547656,151482.21452143227,2038-05-01,2045-08-20 21:00:00,2046-08-11 19:00:00,Humboldt,1000,2046
11,11,Project 13,70128,134397.88118809895,142940.0478547656,2037-05-01,2044-08-29 22:00:00,2045-08-20 21:00:00,Humboldt,1000,2045
12,12,Project 32,61368,125604.85726071616,134397.88118809895,2036-05-01,2043-08-29 13:00:00,2044-08-29 22:00:00,Humboldt,1000,2044
13,13,Project 12,61368,117062.69059404949,125604.85726071616,2036-05-01,2042-09-07 15:00:00,2043-08-29 13:00:00,Humboldt,1000,2043
14,14,Project 11,52584,108520.52392738282,117062.69059404949,2035-05-01,2041-09-16 17:00:00,2042-09-07 15:00:00,Humboldt,1000,2042
15,15,Project 29,96432,102967.50000000003,111509.6666666667,2040-05-01,2041-01-28 08:00:00,2042-01-19 06:00:00,Coos Bay,1000,2042
16,16,Project 31,43824,99727.50000000003,108520.52392738282,2034-05-01,2040-09-15 08:00:00,2041-09-16 17:00:00,Humboldt,1000,2041
17,17,Project 28,87648,94425.33333333336,102967.50000000003,2039-05-01,2040-02-07 10:00:00,2041-01-28 08:00:00,Coos Bay,1000,2041
18,18,Project 10,43824,91185.33333333336,99727.50000000003,2034-05-01,2039-09-25 10:00:00,2040-09-15 08:00:00,Humboldt,1000,2040
19,19,Project 27,78888,85883.16666666669,94425.33333333336,2038-05-01,2039-02-16 12:00:00,2040-02-07 10:00:00,Coos Bay,1000,2040
20,20,Project 9,35064,79787.16666666669,91185.33333333336,2033-05-01,2038-06-07 12:00:00,2039-09-25 10:00:00,Humboldt,1000,2039
21,21,Project 26,70128,77341.00000000001,85883.16666666669,2037-05-01,2038-02-25 14:00:00,2039-02-16 12:00:00,Coos Bay,1000,2039
22,22,Project 30,26304,68389.00000000001,79787.16666666669,2032-05-01,2037-02-17 14:00:00,2038-06-07 12:00:00,Humboldt,1000,2038
23,23,Project 25,61368,68798.83333333334,77341.00000000001,2036-05-01,2037-03-06 15:00:00,2038-02-25 14:00:00,Coos Bay,1000,2038
24,24,Project 24,52584,60256.66666666667,68798.83333333334,2035-05-01,2036-03-15 17:00:00,2037-03-06 15:00:00,Coos Bay,1000,2037
25,25,Project 8,26304,56990.83333333334,68389.00000000001,2032-05-01,2035-10-31 15:00:00,2037-02-17 14:00:00,Humboldt,1000,2037
26,26,Project 23,43824,51714.5,60256.66666666667,2034-05-01,2035-03-25 19:00:00,2036-03-15 17:00:00,Coos Bay,1000,2036
27,27,Project 3,17520,45592.66666666667,56990.83333333334,2031-05-01,2034-07-13 17:00:00,2035-10-31 15:00:00,Humboldt,1000,2035
28,28,Project 22,35064,40316.333333333336,51714.5,2033-05-01,2033-12-05 21:00:00,2035-03-25 19:00:00,Coos Bay,1000,2035
29,29,Project 5,8760,34194.5,45592.66666666667,2030-05-01,2033-03-25 19:00:00,2034-07-13 17:00:00,Humboldt,1000,2034
30,30,Project 7,26304,28918.166666666668,40316.333333333336,2032-05-01,2032-08-17 23:00:00,2033-12-05 21:00:00,Coos Bay,1000,2033
31,31,Project 2,8760,22796.333333333336,34194.5,2030-05-01,2031-12-06 21:00:00,2033-03-25 19:00:00,Humboldt,1000,2033
32,32,Project 6,17520,17520.0,28918.166666666668,2031-05-01,2031-05-01 00:00:00,2032-08-17 23:00:00,Coos Bay,1000,2032
33,33,Project 4,0,11398.166666666668,22796.333333333336,2029-05-01,2030-08-18 23:00:00,2031-12-06 21:00:00,Humboldt,1000,2031
34,34,Project 1,0,0.0,11398.166666666668,2029-05-01,2029-05-01 00:00:00,2030-08-18 23:00:00,Humboldt,1000,2030
