,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity,delay color,install color,finish-year
0,0,Project 53,131496,231038.2205236819,252257.0904283239,2044-05-01,2055-09-08 15:00:00,2058-02-08 18:00:00,Port of San Luis,Northern CA,1000,#E6B0AA,#C0392B,2058
1,1,Project 55,122712,214534.9167853507,231038.2205236819,2043-05-01,2053-10-20 23:00:00,2055-09-08 15:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2055
2,2,Project 52,122712,191312.92019023251,214534.9167853507,2043-05-01,2051-02-26 09:00:00,2053-10-20 23:00:00,Port of San Luis,Northern CA,1000,#E6B0AA,#C0392B,2053
3,3,Project 35,113952,190889.3039311334,208409.13862971307,2042-05-01,2051-02-08 18:00:00,2053-02-07 18:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2053
4,4,Project 51,113952,171081.29352368574,191312.92019023251,2042-05-01,2048-11-05 10:00:00,2051-02-26 09:00:00,Port of San Luis,Northern CA,1000,#E6B0AA,#C0392B,2051
5,5,Project 34,96432,173368.96923255376,190889.3039311334,2040-05-01,2049-02-08 17:00:00,2051-02-08 18:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2051
6,6,Project 47,131496,169730.66733029674,186346.78350648974,2044-05-01,2048-09-10 03:00:00,2050-08-03 11:00:00,Coos Bay,Central OR,1000,#A2D9CE,#16A085,2050
7,7,Project 41,131496,166010.92148905538,181431.95578686646,2044-05-01,2048-04-08 03:00:00,2050-01-10 16:00:00,Grays Harbor,Southern WA,1000,#AED6F1,#3498DB,2050
8,8,Project 46,122712,160937.8560463291,178682.13435228603,2043-05-01,2047-09-09 18:00:00,2049-09-18 03:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2049
9,9,Project 33,78888,155849.1345339741,173368.96923255376,2038-05-01,2047-02-09 18:00:00,2049-02-08 17:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2049
10,10,Project 54,105192,154134.98978535456,171081.29352368574,2041-05-01,2046-11-30 07:00:00,2048-11-05 10:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2048
11,11,Project 45,113952,153247.09924934182,169730.66733029674,2042-05-01,2046-10-24 08:00:00,2048-09-10 03:00:00,Coos Bay,Central OR,1000,#A2D9CE,#16A085,2048
12,12,Project 40,122712,152148.63719124428,166010.92148905538,2043-05-01,2046-09-08 13:00:00,2048-04-08 03:00:00,Grays Harbor,Southern WA,1000,#AED6F1,#3498DB,2048
13,13,Project 44,105192,143319.3277403722,160937.8560463291,2041-05-01,2045-09-05 16:00:00,2047-09-09 18:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2047
14,14,Project 32,61368,138329.29983539446,155849.1345339741,2036-05-01,2045-02-09 18:00:00,2047-02-09 18:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2047
15,15,Project 50,105192,131183.11988071256,154134.98978535456,2041-05-01,2044-04-18 00:00:00,2046-11-30 07:00:00,Port of San Luis,Northern CA,1000,#E6B0AA,#C0392B,2046
16,16,Project 21,131496,137618.6066388035,154061.713277607,2044-05-01,2045-01-11 03:00:00,2046-11-27 06:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
17,17,Project 43,96432,136522.95902552977,153247.09924934182,2040-05-01,2044-11-26 11:00:00,2046-10-24 08:00:00,Coos Bay,Central OR,1000,#A2D9CE,#16A085,2046
18,18,Project 39,113952,136016.6028934332,152148.63719124428,2042-05-01,2044-11-05 09:00:00,2046-09-08 13:00:00,Grays Harbor,Southern WA,1000,#AED6F1,#3498DB,2046
19,19,Project 20,131496,131496.0,146378.6066388035,2044-05-01,2044-05-01 00:00:00,2046-01-11 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
20,20,Project 29,96432,127392.08174342147,143319.3277403722,2040-05-01,2043-11-12 01:00:00,2045-09-05 16:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2045
21,21,Project 31,43824,120768.9651368148,138329.29983539446,2034-05-01,2043-02-09 01:00:00,2045-02-09 18:00:00,Long Beach,Central CA,1000,#D2B4DE,#8E44AD,2045
22,22,Project 19,122712,122712.0,137618.6066388035,2043-05-01,2043-05-01 00:00:00,2045-01-11 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2045
23,23,Project 28,87648,120103.46302857903,136522.95902552977,2039-05-01,2043-01-12 08:00:00,2044-11-26 11:00:00,Coos Bay,Southern OR,1000,#A2D9CE,#16A085,2044
24,24,Project 38,105192,119318.06859562214,136016.6028934332,2041-05-01,2042-12-10 15:00:00,2044-11-05 09:00:00,Grays Harbor,Southern WA,1000,#AED6F1,#3498DB,2044
25,25,Project 49,96432,110499.869904642,131183.11988071256,2040-05-01,2041-12-08 04:00:00,2044-04-18 00:00:00,Port of San Luis,Northern CA,1000,#E6B0AA,#C0392B,2044
